id,type,abscnseq,ascat,estimate,purbayes
TCGA-KL-8327-01,KICH,0.63,0.71,0.917432971579,0.12312666
TCGA-HC-A6AN-01,PRAD,0.28,0.49,0.888756628701,0.5662325
TCGA-B6-A0WZ-01,BRCA,0.47,0.74,0.869688325698,0.650321
TCGA-D3-A51T-06,SKCM,0.69,0.78,0.837299186497,0.766653
TCGA-DE-A0Y2-01,THCA,0.42,0.45,0.902190383444,0.8573539
TCGA-L5-A893-01,ESCA,0.32,,0.812280083165,0.3950068
TCGA-AA-A02R-01,CRC,0.53,0.72,,0.9997821
TCGA-XQ-A8TA-01,PRAD,0.88,,0.993935808211,0.9827068
TCGA-A8-A08A-01,BRCA,0.55,0.67,0.733739131545,0.590984
TCGA-EJ-5507-01,PRAD,0.34,0.38,0.886023341494,0.5349828
TCGA-FR-A44A-06,SKCM,0.29,0.41,0.511262171081,0.3478902
TCGA-AO-A0J4-01,BRCA,0.51,0.4,0.718791412199,0.5054082
TCGA-LN-A49P-01,ESCA,0.52,0.37,0.651894983328,0.4725636
TCGA-QU-A6IO-01,PRAD,0.36,0.53,0.885391701146,0.5875678
TCGA-MN-A4N4-01,LUAD,0.77,0.39,0.701256068539,0.3496584
TCGA-61-1899-01,OV,0.58,0.73,,0.9943422
TCGA-A2-A0D3-01,BRCA,0.94,0.45,0.828747045647,0.7012703
TCGA-EL-A3T1-01,THCA,0.25,0.29,0.775264076864,0.5069296
TCGA-AK-3451-01,KIRC,0.45,0.54,0.631668625089,0.9846918
TCGA-HC-7210-01,PRAD,0.31,0.32,0.82432848016,0.4002525
TCGA-J2-A4AE-01,LUAD,0.29,0.48,0.746778026594,0.3048439
TCGA-D3-A5GL-06,SKCM,0.75,0.75,0.909753564985,0.9991818
TCGA-H2-A3RH-01,THCA,0.3,0.35,0.906924043025,0.7830159
TCGA-AR-A1AP-01,BRCA,0.61,0.66,0.729266418253,0.7041537
TCGA-BH-A0BW-01,BRCA,0.38,0.56,0.66110703098,0.5681306
TCGA-X7-A8DI-01,THYM,0.21,,,0.1483463
TCGA-E2-A1IO-01,BRCA,0.39,0.33,0.640523824281,0.3586199
TCGA-EM-A22N-01,THCA,0.24,0.23,0.871812692957,0.2425181
TCGA-EM-A2CJ-01,THCA,0.37,0.78,0.939367775575,0.7481167
TCGA-WE-AAA3-06,SKCM,0.59,,0.677416327916,0.8309472
TCGA-2L-AAQM-01,PAAD,0.77,,0.887797325495,0.9934664
TCGA-HQ-A2OE-01,BLCA,0.71,0.66,0.968307644717,0.4543892
TCGA-85-8052-01,LUSC,0.33,0.55,0.844538163568,0.5799412
TCGA-62-A46R-01,LUAD,0.29,0.36,0.686873030985,0.3162692
TCGA-06-A5U1-01,GBM,0.63,,,0.61559
TCGA-B5-A11F-01,UCEC,0.47,0.87,,0.7749072
TCGA-AF-6136-01,CRC,0.6,0.48,0.903951587189,0.8386577
TCGA-S9-A6U2-01,LGG,0.59,,0.925488998495,0.6751496
TCGA-B4-5835-01,KIRC,0.43,0.57,0.769946370938,0.5407031
TCGA-B5-A11E-01,UCEC,0.56,0.81,,
TCGA-X7-A8DF-01,THYM,0.48,,0.687860091161,0.2482339
TCGA-DE-A0XZ-01,THCA,0.38,0.71,0.758329081447,0.598014
TCGA-EY-A1G8-01,UCEC,0.41,0.92,,0.8406485
TCGA-13-0791-01,OV,1.0,0.76,,0.9067468
TCGA-VS-A8EK-01,CESC,,,0.920718809781,
