sample,THCA,OV,LUSC,LIHC,HNSC,UCEC,BRCA,LUAD,SKCM,STAD,CRC,ESCA,GBM,KIRC,CESC,KIRP,PRAD,BLCA,PAAD,LGG
FKTN,2.1957,2.5238,1.595,0.8686,1.4725,1.7403,2.2573,1.6512,1.595,1.5038,1.8957,1.9302,1.9302,2.2664,1.7273,1.9602,1.9509,1.46,1.8125,1.9302
SALL1,4.5705,1.9358,0.0014,3.5425,0.0718,3.5718,0.4865,0.0014,0.1776,0.489,1.0433,0.24,3.3577,4.7465,2.4985,4.6674,0.3115,0.5666,0.3953,3.3577
CA4,4.6622,2.043,5.4332,0.1321,0.3288,1.3846,3.9737,5.2791,0.2998,1.2934,8.5371,1.3846,4.6212,4.6335,2.501,5.1618,1.5261,1.6234,2.1145,4.6212
XXYLT1,2.3871,2.1013,2.3394,0.7748,2.8974,2.8877,2.5924,2.3816,2.9506,2.239,2.3194,1.8078,2.4701,2.6007,2.9655,2.4878,2.6255,2.5512,2.8157,2.4701
FREM2,2.1541,0.3402,1.3651,0.5069,0.1771,0.6608,0.2154,1.6281,0.2998,0.209,0.1519,0.7233,0.3907,2.6173,0.3115,2.506,0.6096,0.0854,0.5887,0.3907
GTPBP2,4.1376,5.2565,4.2847,2.362,4.1997,3.9883,4.1152,4.2196,4.856,3.7689,4.3191,3.7313,3.6555,3.2959,3.9765,3.4183,3.7735,4.2181,4.8727,3.6555
RNASEH2B,4.8987,4.0627,4.3688,2.7379,3.5893,4.6141,4.2817,4.504,5.1891,3.5274,4.174,3.1245,3.7518,3.6358,4.936,3.3828,4.4539,4.5311,4.5764,3.7518
STRN4,4.5898,5.4431,4.8317,2.9784,4.9151,5.119,4.6594,4.7708,5.0153,4.5198,5.0086,4.3731,5.4316,4.4771,5.0264,4.8038,5.1185,4.9565,5.1181,5.4316
TMPRSS3,2.8179,0.0505,2.5009,0.7663,0.2998,1.8363,3.4034,2.5112,1.2696,1.9576,0.7407,0.9862,1.0151,2.2692,0.2642,2.5095,0.919,0.7233,3.1672,1.0151
KLF16,2.0003,2.205,2.6066,2.3718,3.1045,2.83,2.293,2.7487,3.6312,3.7506,3.3076,3.0056,4.2281,2.1893,2.2268,2.5572,2.1878,3.309,3.2004,4.2281
ARSE,0.1124,1.9638,2.0395,5.567,0.2581,2.0111,1.0293,2.183,1.5806,1.5609,4.4263,1.1512,0.8648,4.4673,1.8036,4.1154,0.4916,0.3573,3.5816,0.8648
TSPAN3,7.5305,6.6888,7.7871,4.6839,6.4319,7.3262,7.0355,7.7898,7.0996,6.9219,8.6286,5.6665,7.743,7.3708,7.4469,7.2381,6.6859,6.416,7.6505,7.743
ADNP2,2.651,2.7679,2.5338,1.2147,2.5474,2.1638,2.8602,2.5659,2.4985,2.4325,2.501,2.5924,2.561,2.7281,2.2113,2.6114,2.5779,2.6232,2.3611,2.561
SLC9A7,2.2842,1.9749,1.2485,1.2178,1.2726,1.0007,2.874,1.2516,1.8323,1.4252,0.5069,1.9675,3.0619,1.8976,0.9192,1.8993,2.6772,1.2085,2.507,3.0619
NLRP1,3.7422,5.2007,3.6024,1.0537,2.5852,4.9426,3.2632,3.4477,3.4477,2.8661,2.3788,2.4439,7.7566,2.3032,5.6505,2.5375,3.5976,3.6018,4.0707,7.7566
ZNF662,1.7995,3.796,1.2932,0.6699,1.0184,2.2813,2.409,1.4065,0.3573,1.2748,1.105,1.3283,1.3511,1.2516,1.9339,1.1959,1.7908,1.642,1.663,1.3511
PARP16,3.0091,3.5994,2.4319,2.3004,2.2129,3.2282,3.0602,2.4198,2.5313,2.4451,2.7951,2.2144,1.8036,2.4727,2.9262,2.5437,2.9728,2.651,2.8075,1.8036
CEP41,2.4252,2.118,2.4292,0.9971,1.7468,2.2634,2.7909,2.3164,2.9911,2.113,2.0844,1.665,3.0893,2.6149,2.128,2.394,2.5263,2.0465,2.5228,3.0893
ZCCHC8,3.7323,4.3747,3.2205,2.3508,3.0992,3.7017,3.6006,3.2721,3.3506,2.5766,3.1295,2.8562,2.2783,3.0868,3.3562,3.0936,3.1253,3.1828,3.4737,2.2783
GLYCTK,2.0878,2.6161,2.1046,6.9049,1.6712,2.4959,1.8564,2.043,2.9839,3.0331,4.0722,1.6374,1.1447,3.8223,2.1379,5.0206,1.9452,1.9188,2.9325,1.1447
FAM166B,0.4657,0.6699,2.5502,0.374,0.938,1.7097,1.4282,2.5137,0.4865,0.6332,0.2998,0.2998,0.8805,0.7276,0.2522,1.0222,0.6239,0.4016,0.2245,0.8805
CRTAP,6.334,7.2245,6.8986,4.6124,5.4999,7.3917,7.3432,6.7597,7.3685,6.4563,5.9771,5.7934,4.3002,6.4343,7.683,6.3718,6.592,7.0703,6.6705,4.3002
SPATA18,0.7493,1.0801,2.551,1.2874,1.9931,1.8683,2.8117,2.6624,0.4447,1.584,1.5064,1.5514,0.4233,2.2016,1.3454,2.3047,2.2345,1.5064,1.479,0.4233
SIRT4,1.4859,1.4038,0.9605,1.0983,0.7493,1.5215,1.2756,1.0779,1.1316,0.7621,0.7999,0.6239,1.3791,1.7359,1.2394,1.8302,1.1802,0.605,1.1186,1.3791
LRP1,4.3576,7.5131,6.3833,5.9345,4.3796,6.1311,6.5704,6.1743,4.2707,5.0871,5.5774,5.3396,5.8637,3.8232,6.7835,3.8782,4.4966,5.8746,6.1136,5.8637
THUMPD1,4.3639,4.6497,3.7898,2.3351,3.242,4.4543,4.6938,3.9838,3.5174,3.2024,3.705,3.4464,3.5779,4.3159,3.9856,4.0972,4.9797,3.7971,3.7146,3.5779
DDR2,2.4985,4.3555,3.1645,0.8285,1.4005,3.7127,4.735,3.0774,3.4635,3.0666,2.7594,2.59,1.4335,2.2871,3.8611,1.8663,3.2414,3.7291,3.2241,1.4335
SUSD1,1.8484,0.997,3.3192,1.0007,1.4251,1.8036,2.3898,3.2752,2.8442,2.0063,2.9338,1.7828,2.7951,3.7944,2.3077,3.57,2.4103,2.6647,3.2202,2.7951
CFAP73,0.3573,0.2998,1.6897,0.03,0.3105,0.6699,0.099,1.9602,0.2998,0.2762,0.099,0.24,0.3231,0.3228,0.1257,0.3736,0.092,0.1257,0.2643,0.3231
FUT8,3.4855,2.9147,3.4428,0.9153,2.2538,3.5851,4.0251,3.2632,4.1152,3.7479,3.3938,3.8054,4.3024,3.2412,3.0463,2.9636,3.0269,3.0091,3.7542,4.3024
SLC25A5,6.847,6.3278,7.6356,7.1848,8.2075,6.8742,7.1806,7.5869,8.0005,7.8462,9.3902,7.5608,6.9522,8.6767,6.8421,8.7755,7.0689,7.6011,7.4051,6.9522
KLK7,0.2029,0.1124,1.0043,0.0014,5.8739,0.9038,3.5633,1.1316,0.0014,0.246,0.0014,0.4657,3.7981,2.5003,0.099,2.6545,0.1188,0.0158,0.0547,3.7981
OR2W5,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
ADAM8,1.4808,2.0464,2.7688,0.9862,1.8356,1.5514,1.2696,2.5137,3.4661,1.3957,1.7359,1.1833,0.8648,0.6744,1.2455,1.1639,1.6718,2.9432,4.3078,0.8648
BSN,0.2762,0.3573,0.1257,0.1903,0.03,0.2277,0.2029,0.1257,0.058,0.1321,0.099,0.2029,5.0414,0.1648,0.1519,0.24,0.1776,0.0854,0.1756,5.0414
CYS1,2.4908,2.5827,2.501,0.8448,0.6879,3.5645,1.8879,2.7909,0.4967,1.6431,1.6964,0.679,2.4063,6.9414,4.0918,7.3005,1.884,1.7489,3.7254,2.4063
KLHL9,3.449,2.9636,3.009,1.7484,2.5487,3.5324,3.7678,3.0927,2.9581,2.4395,3.0809,2.6918,2.9506,3.6323,3.3591,3.2907,3.6206,2.77,3.2358,2.9506
CLIP3,1.4962,5.2321,2.3309,0.6834,0.8645,5.1014,3.4556,2.2051,2.1862,3.0583,2.9674,2.4597,7.7894,2.8916,5.5565,2.8511,3.9468,4.1211,3.1157,7.7894
ENO1,8.2207,7.8327,8.8432,7.7983,9.789,8.2478,8.6707,8.8068,10.1543,7.8442,8.7352,7.1475,9.25,9.8028,8.5237,9.9045,8.2259,8.5606,9.241,9.25
CCDC18,0.9192,1.642,1.0149,0.6924,1.0711,0.9192,1.3679,1.0503,2.1047,0.6744,1.0573,0.8327,0.7664,0.5666,0.7748,0.5951,0.5568,1.2576,1.3948,0.7664
DGKQ,2.0673,2.6196,2.3337,1.105,2.3234,1.9712,1.9527,2.3676,2.6161,2.2057,3.9654,1.9415,3.4384,1.5854,1.9453,2.0183,2.0201,2.4008,2.8659,3.4384
LNPK,2.3077,2.3898,2.4714,1.9124,2.6255,2.236,3.2601,2.4008,2.4831,2.3885,2.876,2.3308,3.492,2.6794,2.2872,2.4062,2.8799,2.3394,2.1746,3.492
HMGCS2,0.3115,0.1055,0.8921,9.6411,1.385,0.058,4.6594,1.3846,0.03,4.5612,8.4487,4.2072,0.058,6.4718,0.0014,6.3622,5.0505,5.2048,0.0924,0.058
KMT2E,4.1376,4.6577,4.1273,1.8683,3.3513,3.9746,4.5154,4.0893,3.9691,4.0374,4.1555,4.0073,3.9156,3.9295,3.872,3.6606,4.1044,3.9213,3.8679,3.9156
PDK1,1.692,2.93,1.7206,1.3707,2.0147,1.6695,2.4623,1.5165,2.9655,3.0047,2.8096,2.74,1.8524,2.2199,1.7316,1.9148,1.8957,1.8242,1.8921,1.8524
C6orf141,0.7916,1.1414,0.732,0.4233,0.7874,2.1894,2.1047,0.7407,0.03,1.7461,1.2637,0.7748,1.3567,0.1838,1.595,0.2277,0.4125,1.125,2.9699,1.3567
ASAP3,4.5015,5.8177,3.518,1.7184,3.8595,3.794,3.9874,3.6657,2.3843,2.6276,3.6872,3.3661,2.993,3.4391,3.705,3.5776,4.1392,3.3192,3.4297,2.993
ATP8B2,3.7116,5.1855,3.3605,1.0779,1.8842,4.4822,3.4183,3.1442,4.389,3.2209,2.6985,2.753,3.506,2.4385,4.6955,2.6873,4.0773,3.5199,3.792,3.506
MFHAS1,2.6487,1.7931,3.3559,1.3595,2.3176,2.8179,2.0535,3.345,2.5462,2.3451,3.4804,2.3194,2.5061,3.415,2.233,3.3709,2.556,2.6043,3.098,2.5061
KLF4,4.6714,5.1952,5.783,2.3442,6.5055,4.591,5.7947,5.6139,3.3633,6.1754,7.1704,5.5367,2.7721,3.463,5.3782,3.7264,4.2283,5.9096,3.7167,2.7721
FBXL22,1.2933,1.5033,0.5907,0.099,0.5018,3.5111,1.3454,0.5859,0.3573,1.4299,1.5465,0.9419,1.1512,0.8608,4.034,0.8766,2.4882,2.5755,1.0359,1.1512
NMRK1,4.9782,4.5696,4.3654,4.333,4.2516,4.0714,4.4648,4.3924,4.4977,3.7103,4.0073,3.3856,3.7857,4.528,4.4932,4.6436,4.5064,4.447,4.1702,3.7857
COX8C,0.0014,0.092,0.0014,0.0014,0.0014,0.0854,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.058,0.058,0.0014,0.008,0.0014,0.0014,0.0014,0.058
KRT33B,0.0014,0.0014,0.0014,0.0014,0.1648,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.3346,0.0014,0.03,0.0048,0.0014,0.0158,0.0014,0.3346
OR1S1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
KCNA5,0.5859,0.9715,0.9531,0.058,0.0783,0.517,0.346,0.7748,0.1903,1.2724,0.5763,0.4865,1.2271,0.8488,0.6969,0.8998,0.1582,0.9038,0.4348,1.2271
G6PC2,0.0014,0.044,0.0363,0.0014,0.0014,0.0014,0.03,0.058,0.0014,0.0158,0.03,0.044,0.044,0.044,0.0014,0.0363,0.0014,0.0014,1.7954,0.044
DACH2,0.044,0.3115,0.044,0.0014,0.0218,0.2522,0.0718,0.044,0.0014,0.0783,0.058,0.0854,2.7161,0.5666,0.1903,0.5069,0.1965,0.2029,0.098,2.7161
MOCOS,0.3231,2.7039,1.473,2.8582,1.766,0.9419,1.9377,1.4704,2.4754,1.2019,1.412,1.0222,0.2154,1.2239,0.3796,1.0813,1.2786,1.7786,0.9718,0.2154
CHMP1A,5.3502,5.3786,5.2865,3.9307,5.7257,5.4006,4.9928,5.2562,5.2694,5.0556,6.1025,4.2638,5.7024,5.1799,5.4333,5.4943,5.6057,5.6156,5.6614,5.7024
HTR1D,0.0158,0.0158,0.1519,0.0158,0.0158,0.1124,0.03,0.1903,0.058,0.0899,0.099,0.0158,0.6332,0.044,0.0718,0.03,0.1452,0.1776,0.2441,0.6332
LTK,0.3346,0.2154,1.5059,0.7748,0.3512,0.1648,0.2642,1.9111,1.3567,1.2405,2.8239,0.9419,0.8961,0.6517,0.1519,0.8598,0.1188,0.2277,1.0337,0.8961
USP17L25,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
GANAB,6.9989,6.9326,6.6203,6.0392,6.0742,6.8048,6.7901,6.5702,7.0217,5.9903,6.6551,5.9609,5.7727,6.9158,6.5955,6.7962,6.8939,6.257,6.5438,5.7727
PPP1R12A,4.2465,4.5611,4.0688,1.7995,3.4068,4.6611,4.7313,4.0117,3.7214,4.876,3.9089,4.2541,3.7614,3.8808,4.7872,3.4203,5.0282,4.34,3.8095,3.7614
MORC2,3.5486,4.1343,3.4304,2.8671,3.335,4.1915,3.9664,3.4237,3.9645,2.698,3.2002,2.7249,3.2267,3.2465,4.2181,3.2751,3.8576,3.9421,4.1825,3.2267
CLMP,0.9789,2.8289,2.1731,0.1388,1.0845,4.4363,4.5736,2.0147,1.7097,2.9029,2.6693,1.9895,0.9862,1.5291,4.4568,1.2545,1.8303,2.9893,2.8057,0.9862
TREM1,1.0293,0.439,6.8198,0.7277,0.9752,0.4016,0.8568,6.679,2.6693,0.7276,0.5069,0.2522,0.3346,0.5811,0.3685,0.447,0.4859,1.2516,3.038,0.3346
ARNTL,3.1923,4.5103,2.8199,2.2679,1.9121,2.4518,2.8402,2.8721,2.5852,2.5523,2.4754,2.0945,3.4804,2.3885,2.1574,2.3654,2.108,1.9931,2.8148,3.4804
DGKE,1.3051,1.9188,1.2779,0.522,0.6238,1.7786,1.3956,1.2394,0.7058,1.1704,1.0779,1.3051,2.6161,1.2455,1.8403,1.0778,1.6234,1.4011,1.2453,2.6161
EPHA7,0.044,0.605,0.1776,0.0158,0.1188,0.7407,0.4865,0.1648,0.0158,0.6753,1.4441,0.3907,1.8363,2.293,0.3346,2.1525,2.3218,1.8801,0.0705,1.8363
SRRM2,7.2327,9.5053,7.0321,5.9227,6.2602,7.938,7.3531,7.0528,7.2756,6.8629,6.7131,7.6353,6.6071,6.1956,8.1498,6.6731,6.9015,7.4001,7.6174,6.6071
SENP1,2.1862,2.3592,2.2144,0.896,2.0843,2.3048,2.7051,2.1476,2.5288,2.1677,2.0183,2.1574,1.3225,2.1767,2.3222,1.9169,2.1878,2.0183,2.3095,1.3225
RAD18,1.8484,1.642,1.6257,0.7705,1.5365,1.5315,2.5187,1.6558,2.1379,1.6211,1.8683,1.3679,1.0151,1.3984,1.1897,1.115,2.0724,1.3511,1.5817,1.0151
MTMR12,3.4116,3.5236,3.7475,2.3885,3.0773,3.6428,4.3513,3.7741,2.8055,3.447,3.0074,3.8106,3.6805,3.9221,3.8003,3.7177,3.8201,2.7951,3.5947,3.6805
IFITM1,5.7767,8.8637,7.1638,6.3149,6.8566,8.3347,7.4015,6.7022,9.5225,6.3628,6.8386,4.4945,5.4874,6.3798,8.0947,6.0269,6.4012,6.7201,7.4363,5.4874
LGALS8,3.7291,5.1092,4.3382,3.4543,4.0545,3.8208,4.865,4.429,4.1506,3.7752,3.8319,3.7105,3.9204,4.2223,3.3163,3.8806,4.1591,3.864,4.674,3.9204
IRF2BPL,3.8867,4.4938,3.7641,2.6567,3.0768,3.8471,4.2631,3.7877,3.6336,3.6846,3.1062,3.4143,3.8481,4.1875,3.6861,4.3179,4.0166,4.2025,3.8902,3.8481
GLT8D2,4.844,4.882,2.8824,0.7536,1.3845,4.2495,4.3191,2.6962,1.3283,2.3884,2.4779,1.177,1.9226,1.6784,4.6577,1.6373,2.6521,3.4517,3.6424,1.9226
TMEM182,1.7489,0.8488,1.1833,0.6001,1.5215,0.8883,1.8036,1.0915,1.2516,1.0791,1.2696,1.0293,1.3901,1.7185,0.8568,1.4678,1.7229,1.2147,1.2305,1.3901
OR13F1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
ZCCHC12,0.8648,1.1641,0.2277,0.0014,0.044,6.0374,0.2154,0.2154,0.1776,0.1991,0.3115,0.03,5.3796,0.0505,4.8635,0.044,0.4339,0.099,0.4635,5.3796
PC,3.2841,3.3314,2.3536,6.9016,3.8104,2.3048,4.6393,2.4144,4.0781,2.3191,3.5779,2.8522,5.1387,4.5015,2.3423,5.4744,4.1429,2.0912,3.3762,5.1387
MRFAP1L1,5.6456,5.2877,5.1964,4.3071,4.8553,5.984,5.4825,5.2732,5.5838,4.2312,4.6776,3.8896,5.7798,5.4075,5.6594,5.1785,5.775,5.2434,5.3322,5.7798
FOXG1,0.03,0.3907,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.03,0.0014,0.0014,0.058,3.7899,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,3.7899
DCAF13,3.863,3.6119,3.5516,2.7072,4.0892,4.0532,4.1506,3.5174,4.9741,3.0799,3.7814,2.9451,2.8994,4.1591,3.9534,4.0553,3.7731,4.3118,3.9645,2.8994
IGFN1,3.4477,0.4447,0.2277,0.0158,0.1188,1.2993,0.2029,0.2154,0.0158,0.0048,0.058,0.0158,0.6145,0.0158,0.6879,0.0505,0.0645,0.1124,0.4562,0.6145
FKBP10,5.1169,6.4137,4.011,1.8643,2.0707,5.925,4.7464,3.7269,5.6364,3.4252,3.2297,2.7314,3.4358,3.2134,6.1782,3.2728,4.5571,4.8525,5.9787,3.4358
NEMP1,2.2238,2.7128,1.9396,0.9343,1.4466,2.2238,2.4332,2.0218,2.83,1.6018,1.7185,1.787,1.3283,1.8424,1.9822,1.674,2.1476,2.118,1.8257,1.3283
CAMKK1,2.5828,2.7017,2.0183,0.3056,1.9301,2.7721,2.1247,2.0673,1.6374,1.2898,1.6093,1.2455,6.013,1.3426,3.5337,1.3763,1.9396,2.4492,2.2972,6.013
FOXN3,2.9544,4.4172,4.1061,3.1563,3.812,4.0541,4.4842,4.0739,3.4996,4.8076,3.9773,4.551,3.1442,3.6844,3.5982,3.4041,3.9851,3.9865,3.6302,3.1442
BTF3L4,4.903,4.8898,4.5252,3.6505,4.706,5.005,5.0295,4.5047,5.4384,4.2881,3.7593,3.7919,4.8968,4.6416,4.6317,4.353,4.6944,4.7389,4.6368,4.8968
TIAF1,0.346,1.514,0.5762,0.3571,0.3346,0.5763,0.6969,0.6239,0.7493,0.4761,0.5469,0.7146,1.8283,0.3628,0.517,0.449,0.2702,0.4447,0.894,1.8283
C1QTNF4,0.4552,3.1459,0.1124,0.0718,0.1257,1.5266,0.3231,0.1519,0.1648,0.7032,0.2642,0.2642,4.7132,0.1388,1.2933,0.1838,0.3402,0.3796,0.5136,4.7132
TRNP1,1.7403,1.5986,3.2684,1.3753,4.1619,2.6232,3.3435,3.3856,3.5262,5.6117,1.4441,4.4443,4.5595,3.3945,3.3856,3.483,2.8796,3.7182,4.1125,4.5595
NAALADL2,1.2516,1.478,1.2054,0.6698,0.8248,1.642,2.9243,1.1577,0.5955,1.4546,1.7786,1.8283,0.6699,2.2298,1.4282,2.0684,2.5437,1.5806,1.2747,0.6699
ADAMTS12,0.5859,1.4361,1.3511,0.2881,0.2522,1.7229,2.2872,1.1447,0.3346,0.3851,0.4233,0.1776,0.099,0.5568,2.108,0.5271,0.5955,1.0573,3.1543,0.099
SLC22A15,0.8961,0.8961,1.6535,0.1249,0.9381,0.605,0.7833,1.6604,0.3685,0.6001,0.4967,0.9716,2.4008,1.7251,0.4865,1.5893,0.7493,0.5469,1.5411,2.4008
PROC,0.2522,0.346,0.3402,8.2825,0.2696,0.3573,0.1388,0.3346,0.2998,0.6412,1.0503,0.8488,1.0151,3.1604,0.3573,4.0636,0.2878,0.2522,1.7455,1.0151
OR4A15,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
NDUFA9,5.5562,5.0426,5.3932,5.3898,5.9974,5.5808,5.637,5.3107,5.9565,5.438,6.9982,5.0383,5.4653,6.5105,5.4774,6.4551,5.7034,5.691,5.7736,5.4653
RRP9,3.506,3.7264,3.3076,2.3564,3.677,4.0135,3.335,3.3364,4.2609,2.4412,3.4996,1.8604,3.3192,3.0507,3.84,3.2624,3.641,3.7593,3.6364,3.3192
CBX1,5.3796,5.4001,4.4163,2.5425,4.2965,5.9385,5.1114,4.4323,5.2064,3.8634,4.3965,2.9857,5.5522,5.0392,5.3242,4.7907,4.9514,4.5958,4.6691,5.5522
PLOD3,4.371,4.8423,4.9165,4.2442,3.0697,5.1111,4.3903,4.7788,6.6987,4.0541,5.1351,3.6486,3.5958,4.1376,5.235,4.5414,4.3965,4.4516,5.4434,3.5958
ILF3,6.0164,6.9738,5.474,3.5923,5.3799,6.2342,5.7145,5.4692,6.3007,5.0862,5.5469,4.9519,5.4977,5.3561,5.6809,5.4069,5.8377,5.6927,5.9038,5.4977
CAMKK2,3.6714,4.444,4.1227,2.9137,3.3626,4.0893,4.3958,4.0251,3.4804,3.6668,4.1376,3.5597,6.0768,3.5454,4.235,3.7497,4.9115,3.9213,4.1393,6.0768
PLAGL2,2.501,2.6359,2.8887,0.804,2.831,2.4359,2.3981,2.9581,2.1735,2.5655,2.9784,2.6184,1.7954,1.9169,2.1247,2.0108,2.3607,2.2238,2.2905,1.7954
WSCD2,4.7055,0.2215,0.3402,0.0218,0.3261,1.6786,1.0007,0.4016,0.058,1.2044,0.5271,0.6239,4.0498,1.196,2.561,1.1409,1.9069,1.7659,0.564,4.0498
INPP4A,2.3816,2.9119,2.8522,0.8922,1.7659,2.3194,2.6349,2.694,2.9488,2.5595,2.3077,1.9639,4.3343,2.3048,2.2175,2.1361,2.128,2.982,2.6817,4.3343
BCL11A,1.8879,0.3516,1.3282,0.1965,3.0022,2.1114,2.457,1.4962,3.3506,3.4724,2.6066,1.5013,4.8105,0.5271,1.3397,0.6547,2.7039,2.0218,2.8591,4.8105
DNAJC28,2.1313,0.3796,0.8488,0.7748,0.9192,0.7493,1.2147,0.8883,0.7579,0.8407,1.0007,0.7493,1.8801,1.7024,0.6969,1.7933,0.9417,0.679,0.7217,1.8801
CHEK2,2.293,3.5681,2.1621,1.7911,2.4504,2.8055,2.6302,2.1798,3.1955,1.9169,2.8681,1.1183,0.9789,1.3819,2.8622,1.3955,1.9675,2.9488,2.6169,0.9789
SMAD6,3.1797,2.5225,3.8788,1.8078,0.7145,2.8117,1.8036,4.2001,0.9716,2.0809,1.8323,1.6281,1.1117,2.4779,2.0218,3.0037,2.5313,2.4856,2.021,1.1117
TCAF1,4.3556,4.3201,3.7899,3.2374,3.032,4.5199,4.6404,3.8551,3.2647,3.2178,3.6612,3.492,4.9608,3.907,4.3855,3.668,4.6977,3.562,3.5683,4.9608
AIPL1,0.0014,0.0158,0.0014,0.0014,0.0158,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0854,0.0014,0.0014,0.0014,0.0014,0.0014,0.0048,0.0854
ASIC1,0.2762,0.9038,0.537,0.0854,0.7329,1.0222,1.3454,0.4761,0.3685,1.0363,0.9494,1.0151,4.3556,0.4967,1.5215,0.5702,1.6875,1.2696,0.6412,4.3556
MIGA2,3.6347,4.4263,2.6196,1.9711,3.1368,3.1636,2.9338,2.5634,2.7444,3.212,4.033,3.1797,3.9865,2.8321,3.1876,3.3478,3.447,3.335,3.2615,3.9865
KRTAP12-3,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
CCDC51,3.5994,2.4623,2.9328,2.5743,3.3965,3.2496,3.0825,2.9224,4.3104,2.7422,3.5486,2.0465,3.011,3.6641,2.8681,3.8616,3.1612,3.3336,3.1834,3.011
RRAGD,4.2825,1.0711,3.6329,2.0706,4.4101,1.6786,3.5779,3.6347,3.7291,1.8538,1.7954,1.2756,3.2002,5.0222,1.4282,4.7466,3.5256,2.8661,3.3447,3.2002
ATRIP,2.6091,2.4844,1.9967,1.1641,2.1766,2.5163,2.5087,2.0003,2.5852,1.5316,1.7009,1.4808,1.6281,1.8036,2.3251,1.9053,2.4305,2.3564,2.0498,1.6281
S100A6,9.9428,8.5871,10.9587,5.0792,9.7823,9.6907,9.6392,10.8476,10.8307,9.0437,11.1601,8.102,6.914,9.8626,11.1243,9.7837,9.1702,11.081,10.3354,6.914
TNNI1,0.2522,0.3729,0.3851,0.4286,4.4232,0.5859,0.3573,0.3573,0.3231,0.3172,0.5859,0.3231,0.0014,2.3135,0.5955,2.8096,0.5465,0.1648,0.6436,0.0014
KRTAP23-1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
LIPE,2.0979,2.4184,1.7723,0.7102,3.001,2.9506,7.528,1.614,3.1717,2.6266,2.3451,1.614,4.6865,2.3621,2.2989,2.567,2.2944,3.3307,2.7691,4.6865
WNT16,0.044,0.0505,0.0718,0.0014,0.099,0.058,0.03,0.0718,0.2277,0.1055,0.1257,0.044,0.6425,0.044,0.0718,0.058,0.3794,0.058,0.0704,0.6425
HGS,5.1543,6.2878,5.3293,4.2732,5.531,5.7568,5.1256,5.3559,5.7999,4.7331,5.3136,4.7619,6.083,4.9491,5.5571,5.3825,5.4219,5.7504,5.9077,6.083
OR8J3,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
PVRIG,0.6332,1.8879,1.5489,0.5567,0.6096,0.8488,0.7058,1.3454,4.3126,1.2904,1.5064,0.7833,0.7493,0.3516,0.5955,0.4551,0.6652,1.2756,1.4172,0.7493
PCGF5,4.2631,3.5187,4.3442,3.8048,3.7582,3.5225,4.0943,4.4602,4.2699,4.5214,4.9174,4.1219,3.8571,4.6047,3.66,4.3741,3.9256,3.772,4.1419,3.8571
UBE2Q1,4.9649,5.1142,5.1213,3.6924,4.5082,4.9901,5.0955,5.1836,5.6381,4.7886,5.2154,4.3191,5.2936,5.2335,4.935,5.0217,4.8087,4.7836,5.195,5.2936
ATP10A,0.7233,0.605,3.1406,0.1711,0.7999,0.732,1.683,3.0498,3.6894,0.8805,0.7664,1.177,1.8036,1.6068,0.8568,1.6942,1.2582,0.8805,2.0012,1.8036
S100G,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.098,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
