sample,THCA,OV,LUSC,LIHC,HNSC,UCEC,BRCA,LUAD,SKCM,STAD,CRC,ESCA,GBM,KIRC,CESC,KIRP,PRAD,BLCA,PAAD,LGG
TRHDE,0.0718,1.3679,0.8608,0.1388,0.0718,0.5469,0.5666,0.8883,0.0014,0.2639,1.0151,0.2522,2.0673,2.0075,0.7999,1.8683,0.5714,0.4125,0.4363,2.0673
YLPM1,4.4483,5.2503,4.0623,2.296,3.5917,4.2862,4.5838,4.1392,4.0816,3.1286,3.7116,3.4582,4.61,4.1486,4.0644,3.9297,4.2304,4.0781,4.0279,4.61
MOGAT3,0.0014,0.0014,0.0014,2.081,0.0014,0.0014,0.0014,0.0014,0.0014,0.1582,3.644,0.0014,0.0014,0.3172,0.0014,0.619,0.0014,0.0014,0.0048,0.0014
RASL12,1.4335,3.1994,3.8754,0.2029,1.3303,4.7678,2.9765,3.6324,1.0363,2.3377,2.4063,1.7489,2.9243,1.7316,5.0095,1.7184,4.7812,4.1708,2.9861,2.9243
NRAS,3.3322,2.4792,3.8131,2.6782,3.6623,2.9357,3.7302,3.8651,4.0833,3.1828,4.3492,3.0995,3.1442,3.8187,3.0056,3.5522,3.2825,3.2617,3.9013,3.1442
DDX53,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0158,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
CA9,0.1388,0.5469,0.2581,1.057,0.2821,0.5955,0.1388,0.1776,0.3796,4.3046,0.6517,5.8212,0.4233,0.2881,1.1183,0.3113,0.24,0.1648,1.4728,0.4233
FMNL3,3.3773,3.681,3.4136,0.7916,1.3751,3.1079,2.9051,3.3647,3.9468,2.1901,1.9527,1.674,2.6579,2.6884,3.2825,2.5009,1.5612,1.9639,3.9657,2.6579
MRPL15,4.7093,4.1567,4.4309,4.8455,5.0848,4.7393,4.7888,4.4033,5.5696,4.2976,5.431,4.0436,4.8018,5.6506,4.89,5.61,4.5931,5.1489,4.9453,4.8018
TSGA10IP,1.2815,0.0014,0.092,0.0158,0.0505,0.0014,0.044,0.1124,0.2277,0.0218,0.0158,0.0014,0.0854,0.0158,0.0014,0.0158,0.058,0.044,0.1257,0.0854
OGFOD3,4.842,4.064,4.2476,3.4437,3.681,4.327,3.9571,4.201,4.1993,3.5979,4.1748,2.826,3.1812,3.8665,4.481,4.1982,4.5556,4.1474,4.0094,3.1812
KIAA1522,4.9298,4.1252,4.2907,1.751,5.2773,3.7105,5.0264,4.3937,1.5806,5.1097,5.9113,4.9021,3.5875,4.8851,2.971,5.0848,5.3891,4.9218,4.8082,3.5875
C19orf68,2.59,2.3986,1.7553,0.9076,1.4833,2.753,1.8119,1.9111,1.9226,1.795,1.9377,1.2147,3.0515,1.8976,2.651,2.0584,2.0621,2.0569,2.05,3.0515
