,Purity,type
TCGA-ZF-AA58-01,0.284012765217,BLCA
TCGA-ZF-AA5H-01,0.514120564417,BLCA
TCGA-ZF-AA5N-01,0.612158137369,BLCA
TCGA-ZF-AA5P-01,0.279453155013,BLCA
TCGA-3C-AAAU-01,0.692377343327,BRCA
TCGA-3C-AALI-01,0.505404402948,BRCA
TCGA-3C-AALJ-01,0.561598180706,BRCA
TCGA-3C-AALK-01,0.480658485389,BRCA
TCGA-4H-AAAK-01,0.534204343528,BRCA
TCGA-5L-AAT0-01,0.376138474812,BRCA
TCGA-5L-AAT1-01,0.300094507235,BRCA
TCGA-5T-A9QA-01,0.70029094686,BRCA
TCGA-A1-A0SB-01,0.565482650525,BRCA
TCGA-A1-A0SD-01,0.547182,BRCA
TCGA-A1-A0SE-01,0.444341557725,BRCA
TCGA-A1-A0SF-01,0.42438785,BRCA
TCGA-A1-A0SG-01,0.622766360931,BRCA
TCGA-A1-A0SH-01,0.371586758333,BRCA
TCGA-A1-A0SI-01,0.423979884803,BRCA
TCGA-A1-A0SJ-01,0.537802719264,BRCA
TCGA-A1-A0SK-01,0.896354466667,BRCA
TCGA-A1-A0SM-01,0.596234583333,BRCA
TCGA-A1-A0SN-01,0.453559410402,BRCA
TCGA-A1-A0SO-01,0.805449966667,BRCA
TCGA-A1-A0SP-01,0.572134889207,BRCA
TCGA-A1-A0SQ-01,0.68372509144,BRCA
TCGA-A2-A04N-01,0.501607841667,BRCA
TCGA-A2-A04P-01,0.521910658246,BRCA
TCGA-A2-A04Q-01,0.228803371225,BRCA
TCGA-A2-A04R-01,0.816725158333,BRCA
TCGA-A2-A04T-01,0.603265875,BRCA
TCGA-A2-A04U-01,0.737369327448,BRCA
TCGA-A2-A04V-01,0.720157667094,BRCA
TCGA-A2-A04W-01,0.378097083333,BRCA
TCGA-A2-A04X-01,0.506352094915,BRCA
TCGA-A2-A04Y-01,0.545693456145,BRCA
TCGA-A2-A0CK-01,0.489177081056,BRCA
TCGA-A2-A0CL-01,0.323075491667,BRCA
TCGA-A2-A0CM-01,0.352892918632,BRCA
TCGA-A2-A0CO-01,0.415891066667,BRCA
TCGA-A2-A0CP-01,0.52676655,BRCA
TCGA-A2-A0CQ-01,0.628087441667,BRCA
TCGA-A2-A0CR-01,0.242467979558,BRCA
TCGA-A2-A0CS-01,0.526090758333,BRCA
TCGA-A2-A0CT-01,0.677903718988,BRCA
TCGA-A2-A0CU-01,0.585724466667,BRCA
TCGA-A2-A0CV-01,0.421550409743,BRCA
TCGA-A2-A0CW-01,0.660510491667,BRCA
TCGA-A2-A0CX-01,0.4864754,BRCA
TCGA-A2-A0D0-01,0.701862266536,BRCA
TCGA-A2-A0D1-01,0.768061475,BRCA
TCGA-A2-A0D2-01,0.542643214931,BRCA
TCGA-A2-A0D3-01,0.672733957439,BRCA
TCGA-A2-A0D4-01,0.567650306176,BRCA
TCGA-A2-A0EM-01,0.572303635844,BRCA
