sample,BLCA,BRCA,CESC,CRC,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SKCM,STAD,THCA,UCEC
TRAPPC9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARG1,0.03,0.01,0.03,0.01,0.06,0.01,0.22,0.01,0.0,0.0,0.96,0.01,0.07,0.01,0.01,0.02,0.08,0.01,0.0,0.01
CAPN10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABCC3,0.96,0.95,0.96,1.0,0.98,0.96,0.97,0.98,0.99,0.29,1.0,1.0,0.97,0.89,0.99,0.85,0.51,0.99,0.97,0.97
LUZP4,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.01,0.0,0.0,0.05,0.01,0.0,0.0
DCAF8L1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
APCS,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.09,0.07,0.0,0.99,0.02,0.01,0.01,0.76,0.01,0.01,0.01,0.0,0.03
MIGA1,0.98,0.99,0.97,0.99,1.0,1.0,0.95,1.0,0.99,0.99,0.91,1.0,1.0,0.99,0.98,1.0,0.89,1.0,1.0,0.92
LIPH,0.8,0.86,0.86,1.0,0.82,0.02,0.71,0.21,0.77,0.01,0.14,0.97,0.84,0.51,0.97,0.98,0.13,0.94,0.9,0.28
POMK,0.28,0.61,0.36,0.42,0.98,0.25,0.6,0.37,0.15,0.65,0.06,0.53,0.71,0.63,0.33,0.47,0.55,0.96,0.29,0.3
LATS1,0.98,0.99,0.97,1.0,1.0,0.99,0.98,0.99,0.98,1.0,0.76,1.0,1.0,1.0,0.99,1.0,0.94,1.0,1.0,0.94
PNMAL1,0.23,0.79,0.33,0.15,0.15,1.0,0.26,0.74,0.95,1.0,0.11,0.61,0.55,0.99,0.88,0.74,0.89,0.24,1.0,0.91
FOXM1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.79,0.87,0.89,0.99,1.0,1.0,0.96,0.91,1.0,1.0,0.6,0.99
CHCHD3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F2R,0.96,1.0,0.96,1.0,1.0,1.0,0.99,1.0,0.95,0.99,0.91,1.0,1.0,0.97,0.99,0.99,0.99,1.0,1.0,0.97
ZNF667,0.37,0.55,0.2,0.01,0.06,0.98,0.1,0.39,0.48,1.0,0.1,0.33,0.3,0.87,0.35,1.0,0.4,0.08,1.0,0.67
CHMP2A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSMB7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUFIP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KIRREL3,0.08,0.09,0.06,0.02,0.07,0.75,0.05,0.03,0.09,0.83,0.03,0.1,0.11,0.19,0.19,0.0,0.42,0.03,0.02,0.1
EREG,0.35,0.09,0.21,0.78,0.59,0.07,0.65,0.03,0.25,0.0,0.05,0.38,0.15,0.03,0.44,0.0,0.07,0.31,0.12,0.13
ACTR3C,0.95,0.95,0.93,0.99,0.91,0.29,0.82,0.99,0.99,0.12,0.98,0.99,0.95,0.96,0.99,1.0,0.3,0.99,0.97,0.91
KRTAP10-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5SL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDK5R1,0.56,0.57,0.81,0.43,0.71,0.98,0.96,0.31,0.54,1.0,0.1,0.55,0.91,0.13,0.68,0.32,0.99,0.28,0.06,0.45
IL13RA2,0.25,0.05,0.12,0.23,0.34,0.85,0.22,0.37,0.03,0.34,0.1,0.26,0.28,0.12,0.2,0.49,0.47,0.27,0.13,0.21
USP17L11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAOK3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RGS9,0.14,0.35,0.14,0.1,0.18,0.72,0.11,0.66,0.58,0.97,0.26,0.17,0.42,0.41,0.65,0.41,0.17,0.29,0.08,0.25
TTC30B,0.86,0.98,0.91,0.96,0.94,0.99,0.8,0.96,0.97,0.97,0.34,0.98,0.97,1.0,0.95,0.97,0.87,0.9,0.97,0.91
ZNF709,0.22,0.58,0.18,0.08,0.18,0.91,0.02,0.43,0.52,0.89,0.0,0.15,0.11,0.74,0.12,0.62,0.12,0.17,0.75,0.71
RNFT2,0.76,0.87,0.69,0.73,0.78,0.98,0.32,0.38,0.93,1.0,0.36,0.76,0.72,0.97,0.61,0.34,0.82,0.91,0.89,1.0
CAGE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
LOR,0.06,0.01,0.06,0.0,0.08,0.0,0.23,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.09,0.0,0.0,0.0
ZNF165,0.93,0.95,0.97,0.97,0.86,0.05,0.85,0.42,0.5,0.02,0.57,0.91,0.78,0.89,0.89,0.62,0.04,0.89,0.98,0.97
CLEC1B,0.03,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
ATIC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRT9,0.13,0.05,0.26,0.0,0.08,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.02,0.01,0.0,0.07
CCL23,0.22,0.12,0.13,0.13,0.09,0.08,0.12,0.14,0.09,0.0,0.06,0.63,0.3,0.03,0.57,0.56,0.19,0.24,0.25,0.12
PCBD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATP7A,0.8,0.94,0.73,0.91,0.99,0.75,0.79,0.96,0.66,0.55,0.13,0.98,0.95,0.64,0.9,0.97,0.93,0.95,0.95,0.62
MSN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC29A3,1.0,1.0,0.96,1.0,0.98,0.99,0.94,0.98,0.98,1.0,0.99,0.99,0.99,1.0,1.0,1.0,0.95,1.0,1.0,0.99
IRX1,0.01,0.53,0.03,0.0,0.2,0.52,0.27,0.04,0.04,0.7,0.0,0.24,0.23,0.04,0.06,0.01,0.25,0.01,0.0,0.02
NDUFS6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRIMPOL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0
PCBP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SERINC5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.91,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.99
HIST1H2BN,0.32,0.55,0.35,0.23,0.56,0.34,0.26,0.48,0.19,0.18,0.38,0.51,0.36,0.72,0.17,0.79,0.56,0.61,0.26,0.51
ASH2L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NELFE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZDHHC9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRIB2,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.96,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99
SHTN1,0.9,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99
BCL2L14,0.62,0.3,0.56,1.0,0.55,0.01,0.3,0.01,0.02,0.0,0.21,0.67,0.4,0.61,0.89,0.76,0.06,0.94,0.01,0.42
SDS,0.75,0.98,0.91,0.86,0.84,0.99,0.83,0.93,0.9,0.93,0.93,0.91,0.96,0.94,0.9,0.72,0.78,0.95,0.41,0.88
SLIT1,0.02,0.07,0.09,0.02,0.02,0.91,0.01,0.0,0.01,0.98,0.01,0.05,0.02,0.03,0.11,0.64,0.04,0.05,0.77,0.08
HPF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPER1,0.18,0.49,0.4,0.27,0.4,0.99,0.41,0.95,0.92,1.0,0.91,0.36,0.24,0.34,0.67,0.82,0.53,0.37,0.97,0.5
ARMC3,0.01,0.35,0.18,0.01,0.07,0.2,0.01,0.13,0.58,0.16,0.01,0.5,0.15,0.67,0.14,0.11,0.02,0.09,0.01,0.77
VAX2,0.34,0.5,0.52,0.03,0.36,0.9,0.26,0.03,0.02,0.95,0.11,0.3,0.53,0.73,0.08,0.4,0.78,0.15,0.01,0.88
DLGAP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CYP24A1,0.81,0.11,0.74,0.15,0.52,0.03,0.86,0.4,0.72,0.01,0.02,0.84,0.73,0.16,0.23,0.28,0.06,0.13,0.54,0.35
SLC25A14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CXorf65,0.11,0.1,0.2,0.21,0.15,0.01,0.07,0.14,0.05,0.0,0.07,0.24,0.14,0.05,0.31,0.02,0.64,0.35,0.03,0.12
IMPDH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
TMEM262,0.08,0.02,0.01,0.01,0.01,0.03,0.0,0.03,0.02,0.04,0.0,0.05,0.05,0.04,0.02,0.02,0.02,0.01,0.0,0.05
CNR1,0.08,0.09,0.06,0.02,0.1,0.97,0.03,0.09,0.3,0.94,0.05,0.35,0.23,0.07,0.25,0.01,0.18,0.26,0.1,0.09
ABCB8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STYXL1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GREM2,0.09,0.09,0.01,0.28,0.22,0.09,0.02,0.01,0.0,0.22,0.48,0.2,0.03,0.01,0.19,0.74,0.03,0.41,0.04,0.31
MYO1H,0.02,0.03,0.04,0.01,0.04,0.0,0.05,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.01
TMEM127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRR20D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYMS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR6B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRSK2,0.12,0.22,0.13,0.57,0.27,0.93,0.06,0.05,0.13,0.99,0.13,0.22,0.16,0.19,0.47,0.47,0.48,0.42,0.05,0.24
CASP5,0.09,0.02,0.06,0.83,0.2,0.13,0.11,0.04,0.0,0.02,0.02,0.1,0.08,0.01,0.03,0.0,0.07,0.33,0.0,0.03
N4BP2L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FBXO30,0.85,0.96,0.89,0.99,0.99,1.0,0.91,0.94,0.81,0.99,0.41,0.96,0.99,0.74,0.84,0.83,0.8,0.96,0.96,0.81
PAX2,0.0,0.16,0.07,0.01,0.03,0.04,0.0,0.98,0.97,0.02,0.03,0.01,0.02,0.33,0.0,0.01,0.01,0.03,0.02,0.39
GLDN,0.26,0.2,0.13,0.11,0.28,0.96,0.27,0.11,0.17,0.95,0.21,0.5,0.28,0.36,0.48,0.01,0.09,0.24,0.4,0.2
RNF122,0.99,0.99,0.99,0.97,0.94,1.0,1.0,1.0,0.99,0.98,0.79,1.0,1.0,1.0,0.99,0.98,0.99,0.98,0.92,1.0
ZNF705A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NIT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR2AK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINA5,0.14,0.83,0.15,0.09,0.24,0.85,0.06,0.4,0.76,0.2,0.98,0.27,0.11,0.88,0.95,0.2,0.57,0.52,0.06,0.82
KAAG1,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.1,0.56,0.0,0.12,0.0,0.01,0.39,0.02,0.0,0.01,0.01,0.02,0.47
DERL2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
POU1F1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MCHR2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEC1A,0.41,0.61,0.32,0.23,0.44,0.8,0.36,0.95,0.12,0.46,0.17,0.69,0.53,0.26,0.74,0.53,0.38,0.58,0.71,0.39
CD52,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.79,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99
ADGRA2,0.88,0.98,0.64,0.94,0.97,0.93,0.84,0.99,0.45,0.96,0.63,0.97,0.94,0.89,0.98,0.98,0.96,1.0,0.95,0.8
SAMD13,0.66,0.39,0.32,0.97,0.29,0.98,0.04,0.13,0.78,0.86,0.08,0.48,0.28,0.55,0.81,0.96,0.72,0.61,1.0,0.56
ZNF385D,0.19,0.67,0.05,0.11,0.28,0.77,0.27,0.52,0.24,0.4,0.22,0.17,0.14,0.07,0.63,0.59,0.15,0.39,0.2,0.17
MARCH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TFE3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COPE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MGAT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PDE1B,0.4,0.82,0.17,0.2,0.28,0.93,0.16,0.98,0.59,0.98,0.2,0.66,0.43,0.69,0.95,0.12,0.48,0.49,0.79,0.31
PLCZ1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC36,0.04,0.1,0.05,0.66,0.08,0.67,0.0,0.65,0.74,0.12,0.03,0.46,0.17,0.19,0.67,0.02,0.14,0.16,0.01,0.29
ACADS,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99
SUPT5H,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LIG3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DPF2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DEFB110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCT2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDK11B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CFHR3,0.23,0.03,0.1,0.01,0.19,0.0,0.11,0.02,0.02,0.0,0.94,0.28,0.39,0.03,0.03,0.0,0.06,0.03,0.0,0.04
IFITM10,0.92,0.85,0.82,0.36,0.76,0.99,0.82,0.84,0.96,1.0,0.66,0.93,0.87,0.93,0.92,0.6,0.78,0.69,0.4,0.65
LAMA3,0.87,0.91,0.99,1.0,0.99,0.21,1.0,0.98,0.98,0.31,0.86,0.94,0.98,0.97,0.99,0.98,0.4,0.98,0.31,0.98
TMEM161B,0.99,1.0,0.99,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.97,1.0,1.0,0.99,0.99,0.99,0.97,1.0,0.99,0.94
PRSS46,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.02
PIK3CD,0.76,0.91,0.96,0.65,0.96,0.95,0.99,0.98,0.99,0.88,0.41,0.99,0.99,0.96,0.95,0.68,1.0,0.93,0.89,0.86
IGIP,0.94,0.98,0.96,0.99,0.92,1.0,0.79,1.0,1.0,1.0,0.97,0.97,0.79,0.73,0.99,1.0,0.86,0.98,1.0,0.87
TXN2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM169,0.03,0.03,0.05,0.02,0.02,0.93,0.01,0.42,0.75,0.96,0.29,0.08,0.04,0.31,0.24,0.0,0.39,0.05,0.54,0.21
MAP2K3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TCF25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHST1,0.43,0.9,0.44,0.4,0.77,0.99,0.75,0.8,0.16,0.99,0.45,0.68,0.77,0.95,0.91,0.1,0.57,0.78,0.99,0.77
ELF3,0.99,1.0,1.0,1.0,0.99,0.27,0.99,0.99,1.0,0.05,0.99,1.0,1.0,1.0,1.0,1.0,0.17,1.0,1.0,0.99
CD99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UCP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MYT1,0.21,0.18,0.06,0.06,0.05,0.56,0.01,0.02,0.01,0.94,0.01,0.07,0.05,0.16,0.08,0.07,0.1,0.06,0.07,0.09
RABL3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
GOLGA5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C7orf33,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
TMEM67,0.98,0.99,0.98,0.98,0.99,1.0,0.94,0.99,1.0,0.99,0.35,0.98,0.99,1.0,0.99,0.99,0.95,0.97,1.0,0.98
PDLIM2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
ARPC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ITPRIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.94,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
MAPKAPK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PGLYRP3,0.24,0.02,0.57,0.01,0.6,0.0,0.89,0.0,0.0,0.0,0.0,0.1,0.61,0.01,0.02,0.0,0.08,0.08,0.0,0.03
C8orf4,0.98,0.99,0.96,1.0,0.93,1.0,0.92,0.99,0.89,0.94,0.99,1.0,0.99,0.96,0.99,1.0,0.63,1.0,1.0,0.99
MBD3L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03
C4orf46,0.99,0.99,1.0,1.0,0.99,1.0,0.98,0.97,0.9,0.98,0.43,0.99,1.0,1.0,0.96,0.96,0.96,1.0,0.97,0.98
FRMD3,0.24,0.44,0.1,0.47,0.28,0.99,0.08,0.97,0.87,0.99,0.15,0.16,0.06,0.38,0.56,0.21,0.6,0.43,0.98,0.13
PHGR1,0.36,0.44,0.07,1.0,0.42,0.0,0.01,0.01,0.01,0.0,0.08,0.11,0.02,0.01,0.8,0.84,0.0,0.89,0.0,0.03
CA5A,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.01,0.0,0.07,0.9,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01
EMCN,0.82,0.98,0.54,0.83,0.79,0.98,0.67,1.0,0.87,0.98,0.91,0.96,0.78,0.68,0.96,1.0,0.81,0.97,1.0,0.72
SIGMAR1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR5M10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
BGN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR51I1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOC5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FOXP3,0.6,0.75,0.79,0.63,0.77,0.06,0.83,0.39,0.11,0.02,0.43,0.82,0.78,0.58,0.67,0.3,0.63,0.86,0.41,0.6
THEM5,0.16,0.04,0.43,0.0,0.35,0.0,0.69,0.04,0.03,0.01,0.03,0.19,0.29,0.01,0.01,0.0,0.09,0.08,0.03,0.02
OR5AU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
DTX3L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
OSGIN2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99
C11orf84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAH,0.08,0.25,0.02,0.44,0.1,0.1,0.02,0.62,0.38,0.35,0.99,0.23,0.1,0.02,0.58,0.18,0.02,0.15,0.02,0.05
HEATR5B,1.0,1.0,0.98,1.0,1.0,1.0,0.96,0.99,0.99,1.0,0.9,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.94
SCN3B,0.01,0.03,0.05,0.01,0.12,0.76,0.07,0.15,0.09,0.96,0.0,0.02,0.06,0.22,0.16,0.03,0.01,0.08,0.23,0.03
BAIAP3,0.7,0.74,0.52,0.6,0.41,0.96,0.4,0.84,0.89,0.98,0.88,0.88,0.62,0.81,0.93,1.0,0.29,0.42,0.82,0.83
OR10S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
