sample,BLCA,BRCA,CESC,CRC,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SKCM,STAD,THCA,UCEC
RSF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TCERG1L,0.05,0.02,0.06,0.0,0.05,0.04,0.06,0.01,0.02,0.18,0.01,0.03,0.06,0.04,0.07,0.19,0.1,0.0,0.94,0.03
SPAG4,1.0,0.97,0.98,0.99,0.91,0.91,0.96,1.0,1.0,0.26,0.95,0.99,1.0,1.0,0.99,0.89,0.89,0.96,0.96,0.99
MSX1,0.61,0.7,0.61,0.81,0.73,1.0,0.62,0.81,0.35,0.99,0.27,0.19,0.5,0.79,0.88,0.85,0.78,0.83,0.53,0.95
COPS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDFIP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAB39L,0.97,1.0,0.88,0.95,0.97,1.0,0.88,0.99,1.0,1.0,0.66,0.98,0.95,0.95,1.0,1.0,0.95,0.96,1.0,0.94
MMP14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PI4KA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KDM5A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRAME,0.32,0.39,0.38,0.35,0.63,0.06,0.5,0.56,0.76,0.01,0.25,0.52,0.86,0.96,0.18,0.16,0.97,0.42,0.0,1.0
CT47B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCRL,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
RAB25,0.97,1.0,1.0,1.0,0.99,0.01,0.99,0.19,0.43,0.01,0.13,0.99,1.0,0.97,0.99,1.0,0.2,1.0,1.0,0.98
NPIPA8,0.34,0.42,0.45,0.44,0.31,0.34,0.35,0.63,0.42,0.43,0.42,0.36,0.36,0.31,0.3,0.37,0.35,0.29,0.42,0.59
C7orf77,0.01,0.02,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
MAP6,0.37,0.66,0.15,0.2,0.28,0.99,0.1,0.58,0.48,1.0,0.26,0.77,0.55,0.69,0.97,1.0,0.22,0.44,0.97,0.68
GABRB3,0.3,0.28,0.13,0.16,0.36,0.57,0.14,0.65,0.27,0.95,0.17,0.37,0.33,0.21,0.7,0.94,0.32,0.5,0.52,0.13
CYP51A1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99
NPIPA7,0.97,0.99,0.99,0.98,0.97,0.97,0.87,0.92,0.96,0.8,0.94,0.94,0.95,0.88,0.96,1.0,0.94,0.81,0.98,0.97
